Code,Omschrijving,Eenheid,€/Eenheid,
,Damwandconstructies (ruw),,,
Q-GC1A.100,Leveren en aanbrengen (heien) damwand AZ13 inheidiepte 2m,m¹,€ 414.87,
Q-GC1A.110,Leveren en aanbrengen (heien) damwand AZ13 inheidiepte 4m,m¹,€ 788.01,
Q-GC1A.120,Leveren en aanbrengen (heien) damwand AZ18 inheidiepte 6m,m¹,"€ 1,270.52",
Q-GC1A.130,Leveren en aanbrengen (heien) damwand AZ18 inheidiepte 8m,m¹,"€ 1,679.24",
Q-GC1A.140,Leveren en aanbrengen (heien) damwand AZ26 inheidiepte 10m,m¹,"€ 2,671.84",
Q-GC1A.150,Leveren en aanbrengen (heien) damwand AZ26 inheidiepte 12m,m¹,"€ 3,197.33",
Q-GC1A.160,Leveren en aanbrengen (heien) damwand AZ36 inheidiepte 15m,m¹,"€ 4,470.01",
Q-GC1A.170,Leveren en aanbrengen (heien) damwand AZ36 inheidiepte 20m,m¹,"€ 5,978.11",
Q-GC1A.180,Leveren en aanbrengen (heien) damwand AZ48 inheidiepte 25m,m¹,"€ 10,189.50",
Q-GC1A.190,Leveren en aanbrengen (heien) damwand AZ48 inheidiepte 30m,m¹,"€ 12,694.90",
Q-GC1A.200,Leveren en aanbrengen stalen gording aan damwand (UNP180),m¹,€ 219.89,
Q-GC1A.210,Leveren en aanbrengen stalen gording aan damwand (UNP240),m¹,€ 283.26,
Q-GC1A.220,Leveren en aanbrengen stalen gording aan damwand (UNP320),m¹,€ 503.10,
Q-GC1A.300,Leveren en aanbrengen betonnen deklsoof (B=05 H=05m),m¹,€ 422.48,
Q-GC1A.400,Leveren en aanbrengen groutankers (hoh 25m lang 2 m),m¹,€ 673.42,
Q-GC1A.410,Leveren en aanbrengen groutankers (hoh 25m lang 4 m),m¹,€ 747.25,
Q-GC1A.420,Leveren en aanbrengen groutankers (hoh 25m lang 6 m),m¹,€ 822.49,
Q-GC1A.430,Leveren en aanbrengen groutankers (hoh 25m lang 8 m),m¹,€ 894.88,
Q-GC1A.440,Leveren en aanbrengen groutankers (hoh 25m lang 10 m),m¹,€ 975.01,
Q-GC1A.450,Leveren en aanbrengen groutankers (hoh 25m lang 12 m),m¹,"€ 1,050.25",
,Damwandconstructies (vereenvoudigd),,,
c_Onverankerd,Kosten per oppervlakte onverankerde damwand in m2,m²,€ 9.63,
d_Onverankerd,Kosten per strekkende meter onverankerde damwand in m2,m¹,€ 136.94,
z_Onverankerd,Vaste kosten onverankerd,[-],€ 107.31,
c_Verankerd,Kosten per oppervlakte onverankerde damwand in m2,m²,€ 9.63,
d_Verankerd,Kosten per strekkende meter onverankerde damwand in m2,m¹,€ 174.65,
z_Verankerd,Vaste kosten onverankerd,[-],"€ 1,409.61",
c_Heavescherm,Kosten per oppervlakte onverankerde damwand in m2,m²,€ 8.67,
d_Heavescherm,Kosten per strekkende meter onverankerde damwand in m2,m¹,€ 123.24,
z_Heavescherm,Vaste kosten onverankerd,[-],€ 96.58,
,Wegen fietspaden en op-/afritten:,,,
O-410,Opbreken en afvoeren fietspad (B<2m) (incl. stort-/recyclingskosten),m²,€ 10.84,
O-413,Opbreken en afvoeren regionale weg (B=4-7m) (incl. stort-/recyclingskosten),m²,€ 15.00,
O-414,Opbreken en afvoeren autoweg (B>7m) (incl. stort-/recyclingskosten),m²,€ 27.91,
O-415,Opbreken en afvoeren autosnelweg (B>7m) (incl. stort-/recyclingskosten),m²,€ 44.95,
O-510,Leveren en aanbrengen fietspad (B<2m) exclusief bebording en verlichting,m²,€ 38.61,
O-513,Leveren en aanbrengen regionale weg (B=4-7m) exclusief bebording verlichting bermen en sloten,m², € 54.79  ,
O-514,Leveren en aanbrengen autoweg (B>7m) exclusief bebording verlichting vangrail geluidsscherm signalering bermen en sloten,m²,€ 54.77,
O-515,Leveren en aanbrengen autosnelweg (B>7m) exclusief bebording verlichting vangrail geluidsscherm signalering bermen en sloten,m²,€ 63.54,
,Grondverzet:,,,
Q-GV010,Ontgraven teelaarde vervoeren (1km) en in tijdelijk depot zetten (m3_insitu),m³,€ 3.71,
Q-GV021,Ontgraven klei en vervoeren (25km) naar verwerker (geen stort-/recyclingskosten geen opbrengsten) (m3_insitu),m³,€ 9.45,
Q-GV030,Ontgraven zand vervoeren (1km) en in tijdelijk depot zetten (m3_insitu),m³,€ 3.07,
Q-GV050,Opnemen uit depot astransport en aanbrengen (verwerken) van zand (kern),m³,€ 2.90,
Q-GV060,Opnemen uit depot astransport en aanbrengen (verwerken) toplaag (teelaarde),m³,€ 3.93,
Q-GV070,Leveren en aanbrengen (verwerken) teelaarde,m³,€ 16.90,
Q-GV080,Leveren en aanbrengen (verwerken) klei,m³,€ 21.06,
Q-GV090,Leveren en aanbrengen (verwerken) zand (kern),m³,€ 14.54,
,Profielafwerking,,,
Q-GV100,Profileren dijkprofiel kern,m²,€ 0.73,
Q-GV110,Profileren dijkprofiel afdeklaag,m²,€ 0.80,
Q-GV120,Profileren dijkprofiel teelaarde (eindprofiel),m²,€ 0.77,
,Algemene werkzaamheden:,,,
Q-AW010,Opruimen terrein (hekwerk paaltjes bomen struiken e.d.) en afvoeren naar stort (incl. stort-/recyclingskosten),m²,€ 0.28,
Q-AW020,Maaien terreinen en afvoeren maaisel naar stort (incl. stort-/recyclingskosten),m²,€ 0.02,
Q-AW030,Inzaaien dijkprofiel,m²,€ 0.34,
P-AW040,Opnemen grasmat (incl. 10 cm teelaarde) en afvoeren naar verwerker (geen stort-/recyclingskosten geen opbrengsten),m²,€ 0.62,
P-AW050,Leveren en aanbrengen grasmat (incl. 10 cm teelaarde),m²,€ 6.84,
